family,coupling,visible_precision,ceiling,ceiling_minus_visible_precision,hidden_load,clock,ceiling_dominance_min_eigenvalue
coupled_spring,0.5,10.483870967741934,10.5,0.016129032258065834,0.0015384615384614886,0.0015372793188863979,0.016129032258065834
coupled_spring,1.0,10.9375,11.0,0.0625,0.005714285714285783,0.005698021114637796,0.0625
coupled_spring,2.0,11.764705882352938,12.0,0.23529411764706154,0.020000000000000018,0.01980262729617973,0.23529411764706154
coupled_spring,5.0,13.750000000000004,15.0,1.2499999999999964,0.09090909090909083,0.08701137698962969,1.2499999999999964
coupled_spring,10.0,16.0,20.0,4.0,0.2500000000000002,0.22314355131420993,4.0
coupled_spring,20.0,18.571428571428573,30.0,11.428571428571427,0.615384615384615,0.479573080261886,11.428571428571427
coupled_lc,1.0,10.833333333333332,11.0,0.16666666666666785,0.015384615384615552,0.0152674721307886,0.16666666666666785
coupled_lc,2.0,11.428571428571425,12.0,0.5714285714285747,0.050000000000000266,0.04879016416943226,0.5714285714285747
coupled_lc,5.0,12.500000000000004,15.0,2.4999999999999964,0.1999999999999995,0.18232155679395423,2.4999999999999964
coupled_lc,10.0,13.333333333333334,20.0,6.666666666666666,0.4999999999999998,0.4054651081081642,6.666666666666666
coupled_lc,20.0,14.000000000000007,30.0,15.999999999999993,1.1428571428571423,0.7621400520468965,15.999999999999993
coupled_lc,40.0,14.444444444444454,50.0,35.55555555555554,2.4615384615384595,1.2417131323087824,35.55555555555554
