r,tau,two_mutual_information,residual_abs
0.0,0.0,0.0,0.0
0.05,0.01996675528658595,0.01996675528658623,2.8102520310824275e-16
0.1,0.0794722873600294,0.07947228736002937,2.7755575615628914e-17
0.15000000000000002,0.17736307970376156,0.17736307970376142,1.3877787807814457e-16
0.2,0.3118139415513294,0.3118139415513296,1.6653345369377348e-16
0.25,0.48045802783311037,0.4804580278331101,2.7755575615628914e-16
0.30000000000000004,0.6805411471123438,0.6805411471123437,1.1102230246251565e-16
0.35000000000000003,0.9090809174340225,0.9090809174340226,1.1102230246251565e-16
0.4,1.1630142413135742,1.1630142413135738,4.440892098500626e-16
0.45,1.439321719864515,1.4393217198645147,2.220446049250313e-16
0.5,1.7351233219321098,1.7351233219321096,2.220446049250313e-16
0.55,2.0477445568350037,2.047744556835002,1.7763568394002505e-15
0.6000000000000001,2.374755886376018,2.3747558863760183,4.440892098500626e-16
0.65,2.713990045630899,2.7139900456308994,4.440892098500626e-16
0.7000000000000001,3.063542582912105,3.0635425829121052,4.440892098500626e-16
0.75,3.4217606840551857,3.4217606840551866,8.881784197001252e-16
0.8,3.7872246104099476,3.7872246104099436,3.9968028886505635e-15
0.8500000000000001,4.158725159459678,4.158725159459678,0.0
0.9,4.535239649793052,4.535239649793051,8.881784197001252e-16
0.9500000000000001,4.915908143579734,4.915908143579731,2.6645352591003757e-15
1.0,5.300010989431466,5.300010989431462,3.552713678800501e-15
1.05,5.686948296447887,5.686948296447886,8.881784197001252e-16
1.1,6.0762216161910185,6.076221616191011,7.105427357601002e-15
1.1500000000000001,6.46741788598285,6.467417885982824,2.5757174171303632e-14
1.2000000000000002,6.860195547113289,6.860195547113291,1.7763568394002505e-15
1.25,7.25427267171669,7.254272671716691,1.7763568394002505e-15
1.3,7.649416893398844,7.649416893398859,1.509903313490213e-14
1.35,8.045436924957205,8.04543692495719,1.4210854715202004e-14
1.4000000000000001,8.442175451468056,8.442175451468017,3.907985046680551e-14
1.4500000000000002,8.839503201483517,8.83950320148353,1.4210854715202004e-14
1.5,9.237314018311205,9.237314018311153,5.1514348342607263e-14
1.55,9.635520774255506,9.635520774255518,1.2434497875801753e-14
1.6,10.034051991416536,10.034051991416446,9.059419880941277e-14
