time_iso,close,actual_next_return,observer,prediction,prediction_z,visible_r2,hidden_clock,spoke
2026-04-09T17:00:00Z,72359.99000000,-0.0065146801,flow_pressure,0.0018665680,0.364169,0.033662,1.7926581771028964,True
2026-04-09T18:00:00Z,71890.12000000,0.0034195132,mixed_local,-0.0000130289,-0.002516,0.028508,13.498125127386565,False
2026-04-09T19:00:00Z,72136.37000000,0.0040623609,flow_pressure,0.0015659969,0.302087,0.029201,1.798013039475073,True
2026-04-09T20:00:00Z,72430.01000000,-0.0021028581,flow_pressure,0.0025724617,0.496426,0.028382,1.8040774072400345,True
2026-04-09T21:00:00Z,72277.86000000,-0.0045016726,mixed_local,0.0010993338,0.212048,0.028600,12.907696452781238,True
2026-04-09T22:00:00Z,71953.22000000,-0.0021594258,mixed_local,0.0018730432,0.368051,0.026157,12.858618772738666,True
2026-04-09T23:00:00Z,71798.01000000,0.0024990333,impulse,0.0007428306,0.148470,0.018772,12.050762240830203,False
2026-04-10T00:00:00Z,71977.66000000,0.0027041252,impulse,0.0013350271,0.266605,0.019235,11.989519123662378,True
2026-04-10T01:00:00Z,72172.56000000,-0.0028365361,impulse,0.0004242142,0.084979,0.016268,11.965672771526613,False
2026-04-10T02:00:00Z,71968.13000000,-0.0011948532,impulse,-0.0006917997,-0.139123,0.018348,11.930544077490513,False
2026-04-10T03:00:00Z,71882.19000000,0.0033859220,impulse,0.0000327240,0.006581,0.022980,11.88571192470933,False
2026-04-10T04:00:00Z,72125.99000000,0.0001739859,impulse,0.0011597562,0.232817,0.022486,11.910477744470711,True
2026-04-10T05:00:00Z,72138.54000000,-0.0045705435,impulse,0.0003669665,0.073669,0.022113,11.917723327142939,False
2026-04-10T06:00:00Z,71809.58000000,-0.0044045031,impulse,-0.0003397856,-0.068033,0.023056,11.906392060186336,False
2026-04-10T07:00:00Z,71493.99000000,0.0016489882,impulse,0.0002489392,0.049631,0.026185,11.924793156798561,False
2026-04-10T08:00:00Z,71611.98000000,0.0024493808,impulse,0.0013535060,0.269853,0.025576,11.911964227291648,True
2026-04-10T09:00:00Z,71787.60000000,0.0018046714,impulse,0.0006317788,0.127194,0.026530,11.97275806331931,False
2026-04-10T10:00:00Z,71917.27000000,0.0032007779,impulse,-0.0004410401,-0.088752,0.026849,11.968366064863826,False
2026-04-10T11:00:00Z,72147.83000000,0.0017340987,impulse,-0.0001249329,-0.025132,0.023446,11.924061596103828,False
2026-04-10T12:00:00Z,72273.05000000,0.0010226799,impulse,0.0001461641,0.029493,0.020466,11.92383189658775,False
2026-04-10T13:00:00Z,72347.00000000,0.0083430560,impulse,0.0004236898,0.085488,0.020214,11.90768746573334,False
2026-04-10T14:00:00Z,72953.12000000,-0.0064652674,impulse,0.0014057910,0.280455,0.017799,11.883269305538086,True
2026-04-10T15:00:00Z,72482.98000000,0.0073994037,trend_context,0.0006793113,0.134674,0.011730,2.505582299900158,False
2026-04-10T16:00:00Z,73021.30000000,0.0017892457,trend_context,0.0004157240,0.081724,0.011246,2.5055595565524444,False
2026-04-10T17:00:00Z,73152.07000000,-0.0000282976,trend_context,0.0006586402,0.129841,0.008491,2.520508814851938,False
2026-04-10T18:00:00Z,73150.00000000,0.0018576037,trend_context,0.0003568873,0.070603,0.011483,2.5377029019588133,False
2026-04-10T19:00:00Z,73286.01000000,0.0015543407,trend_context,0.0006402437,0.126838,0.009656,2.537104822301788,False
2026-04-10T20:00:00Z,73400.01000000,-0.0024185897,trend_context,0.0007563674,0.149836,0.010692,2.5323412025024665,False
2026-04-10T21:00:00Z,73222.70000000,-0.0043139678,mixed_local,0.0001692157,0.033639,0.007991,12.481632839860588,False
2026-04-10T22:00:00Z,72907.50000000,0.0012388852,mixed_local,0.0005597266,0.113435,0.005363,12.479623321754172,False
2026-04-10T23:00:00Z,72997.88000000,-0.0017809517,mixed_local,0.0001634239,0.033117,0.005349,12.432601754004354,False
2026-04-11T00:00:00Z,72867.99000000,0.0017825956,mixed_local,-0.0000763461,-0.015463,0.006660,12.487147249808057,False
2026-04-11T01:00:00Z,72998.00000000,0.0001371176,impulse,0.0005986968,0.122166,0.008329,11.958922031525367,False
2026-04-11T02:00:00Z,73008.01000000,-0.0013498037,impulse,0.0003833270,0.078381,0.010609,11.936646282672065,False
2026-04-11T03:00:00Z,72909.53000000,-0.0008301400,impulse,0.0001557451,0.031827,0.011067,11.931904770664847,False
2026-04-11T04:00:00Z,72849.03000000,-0.0011755863,impulse,0.0006756075,0.138009,0.011789,11.938986973209136,False
2026-04-11T05:00:00Z,72763.44000000,0.0005473779,impulse,0.0006726124,0.137676,0.009904,11.94991597040038,False
2026-04-11T06:00:00Z,72803.28000000,-0.0001571481,impulse,0.0007704421,0.157825,0.009221,11.95586177611664,True
2026-04-11T07:00:00Z,72791.84000000,-0.0012465206,impulse,0.0005127692,0.105027,0.009108,11.961966822440848,False
2026-04-11T08:00:00Z,72701.16000000,0.0034614846,mixed_local,-0.0000891533,-0.018319,0.010282,12.563749816109024,False
2026-04-11T09:00:00Z,72953.25000000,-0.0009735627,mixed_local,0.0001726159,0.035451,0.008721,12.570981391575161,False
2026-04-11T10:00:00Z,72882.26000000,0.0008963870,trend_context,0.0007158404,0.153775,0.015964,2.1718376521063,True
2026-04-11T11:00:00Z,72947.62000000,0.0003452567,trend_context,0.0008165918,0.175445,0.015754,2.1262622579624924,True
2026-04-11T12:00:00Z,72972.81000000,-0.0038812941,trend_context,0.0008417021,0.180836,0.016221,2.110266008344557,True
