mode,first_candle,last_candle,last_close,train_window,abstain_z,test_points,selected_rmse,zero_return_rmse,all_feature_rmse,selected_direction_accuracy_when_speaking,last_return_direction_accuracy,momentum_6_direction_accuracy,selected_coverage,gate_passes,gate_reason,observer_wins
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,96,0.5,178,0.004513531646501858,0.004193768311464105,0.004579887515413741,0.3888888888888889,0.4943820224719101,0.4550561797752809,0.10112359550561797,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 23, ""impulse"": 39, ""mixed_local"": 87, ""trend_context"": 29, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,96,0.8,178,0.004513531646501858,0.004193768311464105,0.004579887515413741,0.3333333333333333,0.4943820224719101,0.4550561797752809,0.016853932584269662,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 23, ""impulse"": 39, ""mixed_local"": 87, ""trend_context"": 29, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,120,0.0,154,0.004704089567025383,0.004478918348411451,0.004755217135644408,0.4675324675324675,0.4805194805194805,0.44805194805194803,1.0,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 28, ""impulse"": 47, ""mixed_local"": 75, ""trend_context"": 4, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,120,0.15,154,0.004704089567025383,0.004478918348411451,0.004755217135644408,0.45714285714285713,0.4805194805194805,0.44805194805194803,0.45454545454545453,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 28, ""impulse"": 47, ""mixed_local"": 75, ""trend_context"": 4, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,120,0.3,154,0.004704089567025383,0.004478918348411451,0.004755217135644408,0.36,0.4805194805194805,0.44805194805194803,0.16233766233766234,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 28, ""impulse"": 47, ""mixed_local"": 75, ""trend_context"": 4, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,120,0.5,154,0.004704089567025383,0.004478918348411451,0.004755217135644408,0.1111111111111111,0.4805194805194805,0.44805194805194803,0.05844155844155844,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 28, ""impulse"": 47, ""mixed_local"": 75, ""trend_context"": 4, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,120,0.8,154,0.004704089567025383,0.004478918348411451,0.004755217135644408,0.5,0.4805194805194805,0.44805194805194803,0.012987012987012988,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 28, ""impulse"": 47, ""mixed_local"": 75, ""trend_context"": 4, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,144,0.0,130,0.004748450858428286,0.004564230685513151,0.004805394067283639,0.49230769230769234,0.49230769230769234,0.4461538461538462,1.0,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 19, ""impulse"": 40, ""mixed_local"": 71, ""trend_context"": 0, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,144,0.15,130,0.004748450858428286,0.004564230685513151,0.004805394067283639,0.4696969696969697,0.49230769230769234,0.4461538461538462,0.5076923076923077,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 19, ""impulse"": 40, ""mixed_local"": 71, ""trend_context"": 0, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,144,0.3,130,0.004748450858428286,0.004564230685513151,0.004805394067283639,0.3333333333333333,0.49230769230769234,0.4461538461538462,0.18461538461538463,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 19, ""impulse"": 40, ""mixed_local"": 71, ""trend_context"": 0, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,144,0.5,130,0.004748450858428286,0.004564230685513151,0.004805394067283639,0.14285714285714285,0.49230769230769234,0.4461538461538462,0.05384615384615385,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 19, ""impulse"": 40, ""mixed_local"": 71, ""trend_context"": 0, ""volatility_state"": 0}"
live_coinbase,2026-03-30T06:00:00Z,2026-04-11T17:00:00Z,73159.31,144,0.8,130,0.004748450858428286,0.004564230685513151,0.004805394067283639,1.0,0.49230769230769234,0.4461538461538462,0.007692307692307693,False,no validated live edge: rolling selected view did not clear fixed baselines,"{""flow_pressure"": 19, ""impulse"": 40, ""mixed_local"": 71, ""trend_context"": 0, ""volatility_state"": 0}"
