context,p_pp,p_pm,p_mp,p_mm
00,0.07023912187470509,0.43709008724629095,0.42017045731895825,0.07250033356004569
01,0.4414150977566906,0.04531123434886723,0.07508450600593211,0.43818916188851004
10,0.44522622479885926,0.0423332327195895,0.07096505277017393,0.44147548971137734
11,0.04473755496852162,0.43635910658356797,0.44054847907241607,0.07835485937549432
