observer,eigen_index,eigenvalue
plurality,1,0.9024249422632797
approval,1,4.510281037539698e-16
approval,2,0.3908775981524253
ranked_choice,1,-1.057168810200887e-15
ranked_choice,2,7.934490876672873e-16
ranked_choice,3,2.151098864396366e-15
